393,Zweibrücken Airport,Zweibruecken,Germany,ZQW,49.2094,7.40056
394,Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL,47.973331,8.522222
399,Braunschweig-Wolfsburg Airport,Braunschweig,Germany,BWE,52.319199,10.5561
400,Kassel-Calden Airport,Kassel,Germany,KSF,51.417273,9.384967
402,Bremerhaven Airport,Bremerhaven,Germany,BRV,53.506943,8.572778
403,Emden Airport,Emden,Germany,EME,53.391109,7.2275
405,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN,53.50222,8.052222
406,Borkum Airport,Borkum,Germany,BMK,53.59639,6.709167
407,Norderney Airport,Norderney,Germany,NRD,53.706944,7.23
408,Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF,54.773335,9.378889
410,Westerland Sylt Airport,Westerland,Germany,GWT,54.9132,8.34047
412,Kärdla Airport,Kardla,Estonia,KDL,58.990799,22.8307
413,Kuressaare Airport,Kuressaare,Estonia,URE,58.2299,22.509501
414,Pärnu Airport,Parnu,Estonia,EPU,58.418999,24.472799
415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,59.4133,24.8328
416,Tartu Airport,Tartu,Estonia,TAY,58.307499,26.690399
417,Enontekio Airport,Enontekio,Finland,ENF,68.362602,23.424299
419,Halli Airport,Halli,Finland,KEV,61.856039,24.786686
420,Helsinki Malmi Airport,Helsinki,Finland,HEM,60.254601,25.042801
421,Helsinki Vantaa Airport,Helsinki,Finland,HEL,60.3172,24.963301
424,Hyvinkää Airfield,Hyvinkaa,Finland,HYV,60.6544,24.8811
427,Kitee Airport,Kitee,Finland,KTQ,62.1661,30.073601
428,Ivalo Airport,Ivalo,Finland,IVL,68.6073,27.4053
429,Joensuu Airport,Joensuu,Finland,JOE,62.662899,29.6075
430,Jyvaskyla Airport,Jyvaskyla,Finland,JYV,62.399502,25.678301
431,Kauhava Airport,Kauhava,Finland,KAU,63.127102,23.051399
432,Kemi-Tornio Airport,Kemi,Finland,KEM,65.778702,24.5821
