YYZ,Lester B. Pearson International Airport,Toronto;BRU,CLT,DCA,DFW,JFK,LAS,LAX,LGA,LHR,MCO,MIA,ORD,PHL,ANU,ATL,AUA,AUH,AZS,BCN,BDA,BDL,BGI,BNA,BOG,BOS,BWI,CCC,CDG,CLE,CLT,CMH,CPH,CUN,CVG,DCA,DEN,DFW,DTW,DUB,EWR,FCO,FLL,FRA,GCM,GGT,GND,GRU,HAV,HKG,HOG,IAD,IAH,IND,IST,JFK,KIN,LAS,LAX,LGA,LHR,LIM,LIR,MBJ,MCI,MCO,MDT,MEX,MIA,MKE,MSP,MSY,MUC,NAS,NRT,ORD,PEK,PHL,PHX,PIT,PLS,POP,PUJ,PVG,RDU,ROC,RSW,SAN,SCL,SEA,SFO,SJO,SNU,STL,SYR,TLV,TPA,UVF,VIE,VRA,WAW,YAM,YDF,YEG,YFC,YGK,YHZ,YMM,YOW,YQB,YQG,YQM,YQR,YQT,YQY,YSB,YSJ,YTS,YUL,YVR,YWG,YXE,YXU,YYB,YYC,YYG,YYJ,YYT,YZR,ZRH,ATL,CDG,BOG,MEX,SAL,JFK,LHR,CDG,DTW,FCO,LHR,TPE,GEO,GND,KIN,POS,PEK,PVG,PTY,CMW,SNU,HKG,AMS,ATL,CDG,CVG,DTW,FCO,FLL,JFK,LAS,LGA,MCO,MSP,DUB,DXB,ADD,AUH,BRU,ORD,KEF,PEK,LHR,GRU,ICN,AMS,YHZ,YQR,YUL,YWG,CDG,CPH,FCO,FRA,LHR,MUC,VIE,YUL,WAW,YUL,ZRH,TLV,CAI,NRT,GEO,KIN,VIE,ISB,KHI,LHE,YVR,LIS,OPO,PDL,CPH,SVO,JED,ATL,IST,LIS,OPO,PDL,AMS,ATH,BCN,CDG,CUN,DUB,FCO,FLL,GLA,HOG,LGW,LIS,MAN,MBJ,MCO,OPO,PUJ,SNU,VCE,VRA,YQB,YUL,ATL,BDL,BOS,CLE,CMH,DEN,DFW,DTW,EWR,IAD,IAH,LAX,LGA,MSP,MSY,ORD,PHL,PIT,SFO,STL,YUL,VKO,CLT,DCA,DFW,JFK,LAX,LGA,MIA,ORD,PHL,ANU,ATL,AUA,AZS,BDA,BGI,CCC,CUN,CVG,DFW,DTW,FLL,GCM,JFK,KIN,LAS,LAX,LGA,LIR,MBJ,MCO,MIA,MSP,MYR,NAS,ORD,PLS,POP,POS,PUJ,RSW,SJU,SNU,SXM,TPA,UVF,VRA,YDF,YEG,YHZ,YLW,YMM,YOW,YQB,YQM,YQR,YQT,YUL,YVR,YWG,YXE,YYC,YYG,YYJ,YYT;43.6772,-79.6306
YZF,Yellowknife Airport,Yellowknife;YOW,YXY,YCB,YCO,YEG,YHK,YRT,YVQ,YYH,YCB,YCO,YEG,YFS,YHK,YHY,YRT,YVQ,YFJ,YFS,YLE,YRA,YSG,YEG,YYC,YWJ,YSM,YEG,YEG,YOW,YEG;62.462799,-114.440002
YZP,Sandspit Airport,Sandspit;YVR;53.254299,-131.813995
YZR,Chris Hadfield Airport,Sarnia;YYZ;42.999401,-82.308899
YZT,Port Hardy Airport,Port Hardy;YVR;50.680599,-127.366997
YZV,Sept-Îles Airport,Sept-iles;YKL,YWK,YQB,YUL,YWK,YBG,YGV,YHU,YQB,YWK,YYY,YQB,YUL,YWK,YGV,YNA,YPN,YQB,YWK,YYY,YNA,ZGS;50.223301,-66.265602
ZFM,Fort Mcpherson Airport,Fort Mcpherson;YEV;67.407501,-134.860992
BJA,Soummam Airport,Bejaja;ALG,LYS,MRS,ORY,MRS,ORY;36.712002,5.06992
ALG,Houari Boumediene Airport,Algier;CGN,CDG,MRS,AAE,ABJ,ALC,AMM,AZR,BCN,BEY,BJA,BKO,BLJ,BOD,BRU,BSK,CAI,CDG,CMN,CZL,DJG,DKR,DXB,EBH,ELU,ETZ,FCO,FRA,GHA,GVA,HME,HRM,INZ,IST,LHR,LIL,LIS,LYS,MAD,MRS,MUW,MXP,MZW,NCE,NIM,OGX,ORN,ORY,OUA,PEK,PMI,QSF,SVO,TEE,TGR,TID,TIP,TLM,TLS,TUN,VIE,YUL,CMN,FCO,LGW,DXB,BCN,MAD,CDG,MLA,FRA,TIP,CAI,DOH,AMM,CDG,MED,IST,LIS,TUN,BCN,CDG,LIL,LYS,MRS,ORY,TLS;36.691002,3.21541
DJG,Djanet Inedbirene Airport,Djanet;OGX,TMR;24.292801,9.45244
